"Boyut,Ag?rl?k,Tatl?l?k,Yumu?akl?k,Hasatzaman?,Olgunluk,Asitlik,Quality"
"-5.460.994,28.280.413,26.856.468,4.443.719,-5.849.659,21.178.138,96.955.365,Good"
"-13.933.011,20.184.276,-7.203.693,-15.041.815,-27.971.122,95.859.784,20.693.014,Good"
"-43.063.113,45.401.448,30.255.144,-81.408.453,-20.751.696,8.676.159,26.913.488,Good"
"-1.716.688,25.206.413,20.837.014,5.608.423,-36.456.075,-16.445.167,46.587.077,Good"
"-57.932.436,21.862.595,19.695.919,-15.876.627,-13.178.266,214.383,20.835.464,Good"
"14.887.947,3.729.794,26.930.184,19.924.465,-24.461.366,-54.851.025,22.100.487,Good"
"-269.089,16.017.298,36.716.413,57.906.127,-16.891.048,-11.276.212,96.022.725,Good"
"-25.405.238,23.189.387,6.608.339,-3.088.669,-15.711.106,2.447.738,-3.856.996,Good"
"-42.132.425,19.697.788,10.690.374,-82.384.527,-93.971.896,7.933.326,28.646.808,Good"
"-17.423.457,30.130.498,4.583.526,26.810.586,-10.672.115,10.801.603,38.315.475,Good"
"-12.613.734,-26.489.705,-547.007,-39.600.027,-19.277.211,7.687.679,-14.665.403,Good"
"-12.640.057,33.737.603,10.396.922,-75.820.524,-9.490.702,21.039.143,71.726.754,Good"
"-8.835.349,24.995.081,2.172.953,-10.705.918,20.274.983,16.835.003,14.504.507,Good"
"23.423.427,2.323.552,26.680.086,14.597.061,-6.894.022,-107.570.335,30.608.902,Good"
"16.429.307,44.396.887,38.149.295,-19.909.456,-12.725.385,25.942.893,33.847.263,Good"
"-29.122.434,34.273.558,14.990.435,-17.839.425,-10.541.886,17.722.763,-9.707.029,Good"
"-19.020.803,29.383.278,41.256.843,21.531.285,11.966.472,14.130.903,38.909.051,Good"
"-25.244.355,31.829.395,14.346.732,7.691.714,-9.647.144,11.678.036,17.740.419,Good"
"15.217.946,22.487.378,19.697.989,-71.917.087,-14.350.133,-72.467.184,25.885.441,Good"
"-19.773.122,33.353.786,-4.837.909,-4.634.041,-49.018.973,17.337.134,48.690.784,Good"
"-20.377.977,31.268.778,37.170.562,-23.276.367,-15.844.864,16.011.152,-10.545.208,Good"
"-45.689.406,18.870.652,-45.630.637,-126.345,-28.305.137,11.066.146,-15.822.054,Good"
"-27.417.061,-4.070.541,16.906.732,-31.487.722,-28.219.347,28.343.737,26.326.892,Good"
"-13.444.426,15.540.935,12.310.096,-23.644.266,-20.393.455,2.186.925,5.799.588,Good"
"-41.593.075,18.799.393,35.963.778,1.346.632,-30.943.015,-9.843.023,28.524.115,Good"
"-27.952.251,22.574.708,65.314.305,-26.585.333,-15.234.816,21.794.066,-28.058.723,Good"
"89.414.045,11.608.444,32.923.133,-11.152.438,-14.676.737,-17.335.484,16.291.177,Good"
"-15.588.542,35.362.298,8.310.474,6.144.733,-20.837.078,-10.284.779,-35.009.715,Good"
"-7.185.534,26.366.317,233.684,35.051.838,-23.221.154,23.021.045,2.678.747,Good"
"-30.802.432,1.023.854,33.604.736,-23.357.532,-18.495.896,2.094.109,20.598.245,Good"
"-15.478.344,12.728.935,1.325.104,-14.771.615,-12.653.188,18.723.397,32.471.693,Good"
"-2.725.215,17.660.892,-250.746,-1.211.164,-30.094.066,37.182.052,8.303.494,Good"
"15.327.682,24.787.254,2.772.446,-5.481.366,2.852.237,9.664.961,3.990.282,Good"
"-4.986.112,-53.377.646,27.694.159,-26.415.246,-10.234.092,28.991.778,2.406.238,Good"
"-25.252.874,1.706.611,37.433.739,-17.133.183,-24.318.712,13.418.099,23.072.088,Good"
"-16.236.981,40.650.578,21.890.762,37.239.718,-12.180.791,-24.530.871,22.877.066,Good"
"-19.108.363,1.571.229,26.790.671,-16.194.607,-8.953.363,2.221.353,29.348.218,Good"
"-2.188.819,93.060.887,30.525.765,-2.123.642,-2.894.283,12.536.513,14.409.295,Good"
"-24.298.527,16.921.409,32.115.216,9.106.104,-3.408.274,-6.402.235,18.934.089,Good"
"-28.843.389,1.728.519,63.272.154,3.913.906,-17.358.291,-43.849.507,21.916.962,Good"
"-32.606.137,20.203.648,20.536.032,25.534.183,-2.496.547,-11.547.314,25.888.324,Good"
"-23.430.223,19.273.247,9.435.834,-6.768.916,-69.857.734,-18.891.772,3.910.663,Good"
"-31.092.122,2.137.943,54.419.503,19.200.051,-2.689.992,-16.502.377,26.338.146,Good"
"-39.288.616,4.207.576,39.379.123,-8.436.363,-10.738.372,-17.040.595,16.484.684,Good"
"-2.278.641,14.752.079,50.683.894,-13.763.412,-11.839.484,21.909.587,21.200.142,Good"
"-13.094.279,77.209.747,-102.419.786,-38.380.458,-29.581.013,3.016.085,2.557.096,Good"
"-27.015.846,49.135.387,-30.797.555,-38.808.358,-6.805.325,4.219.009,-35.635.957,Good"
"-2.049.329,17.022.778,16.931.063,-25.627.613,-5.199.914,26.187.918,10.569.351,Good"
"-10.525.486,16.995.672,19.989.368,-1.705.283,-9.240.523,38.352.072,16.273.626,Good"
"-37.247.815,11.089.165,4.759.055,100.593.716,-20.568.256,85.384.315,59.512.454,Good"
"-19.609.915,2.571.355,19.697.281,-86.731.136,-13.277.318,74.261.427,17.348.593,Good"
"-12.059.035,22.968.707,28.675.406,-19.066.763,-19.308.046,7.879.745,16.469.369,Good"
"-6.045.801,20.493.186,29.308.255,-1.757.141,-19.063.239,7.069.435,12.281.541,Good"
"-87.555.504,18.866.045,44.399.395,7.597.865,-2.081.521,-1.156.141,33.256.948,Good"
"-11.823.914,27.475.291,370.575,-9.551.878,-2.057.181,5.314.452,34.366.446,Good"
"-22.072.437,12.330.418,17.273.386,-17.655.847,-40.535.846,-25.432.348,-99.117.376,Good"
"-9.368.594,32.443.275,-6.991.762,14.281.659,-35.748.586,95.541.734,34.053.311,Good"
"-34.282.238,17.677.046,-17.785.155,-35.835.512,-6.716.628,31.955.912,77.839.535,Good"
"-19.736.892,10.923.305,27.450.686,-16.370.084,-24.435.456,-15.363.096,14.005.431,Good"
"-29.127.378,29.981.098,-15.578.028,-23.027.081,8.056.292,4.061.299,7.524.986,Good"
"-5.663.224,52.227.175,3.100.309,-16.887.802,-23.982.794,29.955.894,505.136,Good"
"-42.694.526,-22.808.194,31.983.266,-13.892.152,-33.087.425,12.828.937,935.272,Good"
"-2.012.746,2.019.748,18.792.605,-7.035.918,-13.806.403,24.227.576,3.266.897,Good"
"-28.535.073,26.254.308,-1.581.316,-1.433.921,-2.900.117,35.946.208,8.945.201,Good"
"-21.301.785,28.241.572,-30.814.657,-6.067.685,11.307.513,16.722.794,6.156.069,Good"
"-29.152.267,77.039.635,85.190.153,-28.582.554,-3.746.834,18.316.859,-18.364.805,Good"
"-34.528.542,24.557.132,846.336,-38.617.864,-33.913.106,3.657.249,96.790.284,Good"
"-13.280.482,24.969.308,4.623.664,11.163.954,-20.508.451,-17.453.949,35.675.502,Good"
"-8.971.277,14.414.612,2.651.453,-26.130.464,-5.880.321,36.659.198,34.820.683,Good"
"27.689.308,41.173.553,41.788.754,31.098.035,11.264.595,1.978.342,232.973,Good"
"-9.950.655,-35.977.402,15.875.583,-3.014.576,-10.508.763,26.312.044,3.052.519,Good"
"-11.664.042,11.565.032,4.814.739,-77.434.915,-2.350.804,-27.878.314,16.328.344,Good"
"-31.904.829,36.514.074,3.228.933,-2.537.926,-8.172.085,22.392.104,11.818.907,Good"
"-45.133.343,20.295.038,2.746.812,-30.672.687,-26.931.508,10.727.447,25.838.566,Good"
"-18.453.047,15.543.227,31.362.517,31.319.293,-4.633.711,-16.341.764,75.949.514,Good"
"-32.932.184,18.770.078,-10.646.014,-2.403.566,-3.620.743,18.100.353,21.789.126,Good"
"-13.287.054,17.901.908,-41.691.226,-30.875.204,-13.929.219,29.412.336,-57.200.924,Good"
"-34.448.113,35.965.226,-12.307.195,-7.376.174,-15.660.402,9.695.114,12.441.857,Good"
"-57.517.314,3.748.335,22.572.553,-20.695.608,-1.070.411,40.156.994,38.004.472,Good"
"-26.281.648,11.823.102,8.572.512,-19.477.118,-25.791.306,11.300.776,-92.167.205,Good"
"-31.435.497,7.262.531,42.222.214,-1.343.222,-1.975.483,7.759.127,29.926.946,Good"
"-17.214.268,1.783.733,26.650.195,-7.171.801,-11.652.204,68.621.105,-39.925.677,Good"
"-17.624.682,-46.944.597,19.274.224,-29.344.764,-23.837.256,2.116.564,66.927.457,Good"
"-5.031.918,2.516.229,49.534.944,-15.974.373,-18.576.926,27.080.812,30.811.574,Good"
"-20.935.447,18.921.745,2.376.613,-4.024.051,-27.622.283,6.202.569,38.694.093,Good"
"-14.599.767,28.508.487,-13.385.692,-33.449.485,40.294.096,34.386.065,-67.670.256,Good"
"-1.676.373,39.180.475,-6.421.548,-30.294.409,-30.297.441,89.941.466,-7.341.315,Good"
"-14.063.574,43.915.725,-5.634.236,-24.698.365,-15.966.734,20.198.824,18.020.899,Good"
"-3.339.423,19.748.621,57.391.596,-33.886.971,-11.605.974,48.201.785,20.386.007,Good"
"-44.609.612,5.589.918,30.068.393,-19.307.901,-30.254.862,21.699.076,20.625.563,Good"
"-85.942.465,10.698.987,5.302.465,-27.877.579,-68.888.986,23.024.104,998.129,Good"
"-17.406.391,23.094.244,24.282.312,-8.823.035,-36.494.784,-34.843.686,-42.423.365,Good"
"-14.234.676,15.445.402,22.360.861,-11.756.673,-14.309.021,10.190.233,45.925.107,Good"
"-31.590.598,4.589.164,-8.002.457,-23.352.087,33.991.817,16.008.675,40.540.254,Good"
"-1.110.369,10.764.686,2.207.399,-11.996.789,-20.517.633,76.496.065,10.978.248,Good"
"21.751.039,12.051.842,16.302.282,-2.758.481,-17.031.068,26.535.857,6.298.537,Good"
"-12.929.405,2.136.178,-677.145,-2.222.959,3.253.013,22.238.681,21.985.815,Good"
"9.821.554,32.966.468,18.262.382,-11.248.331,-49.255.836,2.808.967,4.070.804,Good"
"-17.309.374,23.679.638,2.302.955,-10.044.649,-27.279.778,11.965.094,18.899.567,Good"
"32.009.655,9.673.981,28.603.375,-23.128.881,-3.404.226,33.084.564,9.364.931,Good"
"-69.429.374,19.156.348,37.134.886,28.903.857,-14.710.598,38.497.973,27.405.088,Good"
"-19.884.815,15.587.461,3.250.853,-12.945.288,-26.474.745,18.604.434,16.222.485,Good"
"-55.069.596,10.525.606,2.302.208,-12.203.747,-1.435.347,21.554.039,14.533.724,Good"
"-12.475.452,7.320.959,35.009.866,-16.976.753,-11.562.039,27.304.087,33.797.932,Good"
"-19.750.432,16.864.167,2.887.751,-19.866.946,-48.025.194,28.668.005,22.603.836,Good"
"-24.941.535,2.279.177,22.871.594,-155.873,-29.219.778,12.672.702,1.8552,Good"
"-17.119.449,19.413.567,16.176.113,-9.280.782,-19.556.807,-6.497.098,8.278.634,Good"
"-273.742,7.960.748,14.899.567,-17.725.745,-26.764.839,6.549.962,-66.534.543,Good"
"-35.005.152,2.210.146,42.731.163,-14.215.434,-20.585.778,41.923.574,-24.451.128,Good"
"2.627.314,26.595.237,11.131.492,-8.786.074,-2.267.206,-80.679.774,-14.490.931,Good"
"-24.884.548,46.804.607,16.310.146,-39.120.615,-1.057.122,29.489.324,16.248.809,Good"
"-3.550.799,1.877.339,-16.925.935,-20.054.896,-23.922.365,92.307.264,-73.297.787,Good"
"-29.839.242,41.346.292,12.972.409,-44.718.468,-24.174.943,9.635.129,41.473.395,Good"
"-37.875.143,2.393.872,37.095.766,-44.844.896,-1.086.876,2.229.661,65.664.256,Good"
"21.190.999,12.053.062,6.731.965,-14.531.362,-71.014.625,10.354.146,1.346.514,Good"
"-23.932.955,17.702.037,-1.577.349,-25.518.165,-21.893.785,20.431.077,-4.764.747,Good"
"-72.115.517,3.282.134,33.315.027,30.475.312,-9.945.095,-53.041.065,940.945,Good"
"-20.578.167,18.378.235,4.042.245,5.091.799,-26.963.122,-8.798.662,33.246.593,Good"
"-371.746,15.933.839,23.737.051,-13.401.066,-16.044.221,14.104.308,11.115.954,Good"
"4.524.373,22.698.877,18.876.027,-12.825.196,-18.934.168,3.424.372,36.554.086,Good"
"-15.279.895,2.581.172,3.255.547,-83.683.115,-14.747.494,1.192.799,27.593.992,Good"
"-1.328.512,19.345.328,32.454.765,-16.318.239,-9.968.712,67.995.775,9.578.793,Good"
"14.938.487,2.184.116,16.170.087,-1.376.497,-15.321.338,14.912.413,25.291.939,Good"
"12.200.749,1.683.272,38.107.636,-38.164.723,-4.808.346,36.069.977,3.061.267,Good"
"-10.840.863,26.625.466,-28.447.124,-11.659.175,-17.353.479,18.811.924,22.274.833,Good"
"-14.948.999,12.643.795,3.608.344,-12.481.421,-7.256.092,34.854.317,24.396.675,Good"
"-35.333.002,-24.265.856,19.652.119,-15.709.708,-13.220.109,20.161.595,18.847.487,Good"
"-86.552.614,29.033.732,12.177.117,10.334.074,-11.541.904,41.073.424,13.859.646,Good"
"-60.760.945,2.531.804,16.665.757,-2.008.209,-1.381.175,19.112.452,20.075.116,Good"
"-8.253.721,9.145.449,2.694.414,-7.654.153,-25.865.147,35.802.448,31.830.957,Good"
"-36.164.522,-7.861.137,41.309.386,-30.055.263,-27.434.459,1.900.627,4.006.508,Good"
"-17.144.183,21.627.033,15.394.137,-24.468.122,-44.968.925,35.381.668,22.798.371,Good"
"-17.007.698,35.498.077,37.112.913,-10.479.462,-19.916.325,15.766.838,21.373.987,Good"
"-7.774.191,15.774.362,12.691.272,-20.677.245,-12.394.224,3.389.837,18.700.577,Good"
"-11.270.953,1.035.911,2.816.233,-14.136.356,-20.455.046,13.583.392,15.544.449,Good"
"-8.652.708,2.306.346,33.366.373,-4.514.129,-23.193.424,-31.949.618,21.419.034,Good"
"-45.970.047,2.387.724,16.382.052,-10.458.496,-20.038.185,18.454.698,23.880.355,Good"
"-1.852.711,40.007.487,-9.122.792,-37.424.455,-28.262.532,41.900.015,10.629.314,Good"
"-16.411.744,11.936.349,4.776.948,-9.589.714,-10.471.281,-14.146.044,4.382.225,Good"
"-17.485.642,18.705.517,20.551.312,-39.102.736,-82.552.564,11.172.279,8.199.346,Good"
"-34.049.025,-39.230.162,-27.356.222,-39.647.267,-19.931.318,17.062.136,9.443.515,Good"
"-4.209.097,2.332.982,1.884.049,16.807.014,-3.326.872,4.575.388,19.825.417,Good"
"-19.288.819,24.191.387,-65.390.426,-15.321.555,1.852.987,10.406.057,42.702.335,Good"
"-2.021.766,14.119.031,20.608.563,-12.400.365,-2.884.765,7.243.384,-8.187.632,Good"
"1.054.941,31.572.354,20.639.527,-10.440.573,-25.033.087,16.502.993,21.132.493,Good"
"-34.058.516,2.498.182,40.980.363,-31.755.218,-29.353.933,-1.382.042,-68.690.354,Good"
"-4.893.459,13.926.622,26.280.494,-10.590.148,-9.889.827,10.247.469,28.497.162,Good"
"-4.664.041,11.827.514,39.063.528,31.664.446,-8.702.108,8.602.508,1.435.727,Good"
"-41.385.555,11.080.287,14.472.528,-15.561.264,205.708,28.806.787,19.790.969,Good"
"-29.509.053,38.096.092,-7.554.351,-11.746.078,3.398.768,27.497.873,21.556.766,Good"
"-22.649.415,22.208.173,14.846.188,38.916.296,-7.567.373,5.277.777,-1.903.804,Good"
"-16.697.359,-93.071.364,13.206.817,-33.399.823,-31.172.335,3.935.006,1.0829,Good"
"-8.318.709,61.290.795,-16.747,-35.573.494,-16.017.896,27.439.578,-29.065.648,Good"
"-23.302.882,48.764.092,-18.313.743,-22.305.977,-2.272.343,22.336.962,-60.980.314,Good"
"-26.518.197,-1.695.615,-36.655.894,-4.473.118,-114.087,3.355.696,-5.957.515,Good"
"-36.006.763,-18.077.053,-9.316.284,-3.272.642,-17.558.221,2.596.648,11.219.203,Good"
"10.641.652,16.979.612,18.522.848,-90.989.244,-54.300.237,13.895.813,33.373.916,Good"
"-20.463.426,28.814.929,8.366.115,359.757,-31.362.957,7.434.977,15.691.517,Good"
"-28.782.845,2.386.015,-31.006.503,-169.068,-11.856.174,3.436.454,31.051.745,Good"
"-59.668.696,2.659.409,5.654.004,-36.820.974,8.607.901,38.906.486,34.666.443,Good"
"-3.085.916,29.142.797,4.231.673,-17.458.272,-2.338.604,18.850.955,26.681.852,Good"
"-21.084.263,11.054.232,27.367.256,-1.958.909,-9.595.003,24.654.071,2.652.447,Good"
"-21.363.864,20.714.433,1.812.376,4.712.439,-2.935.889,-10.512.834,42.939.825,Good"
"-20.336.645,14.402.758,453.067,-11.344.529,-22.040.153,11.114.553,8.187.719,Good"
"14.678.518,23.993.826,4.739.004,8.300.372,-43.892.562,17.133.696,34.280.214,Good"
"-38.905.692,19.745.122,4.515.941,-17.310.283,-10.661.273,28.743.002,70.072.204,Good"
"-22.304.196,27.824.655,1.127.306,-1.206.043,16.786.289,5.150.448,3.686.951,Good"
"-15.291.855,93.003.994,36.512.716,-17.462.165,-61.442.155,31.090.136,16.901.577,Good"
"-30.670.075,20.615.523,-5.240.177,-72.261.393,-2.967.358,11.006.828,-8.451.118,Good"
"-1.061.328,12.052.621,4.269.463,-8.996.517,-3.413.438,10.022.894,36.689.825,Good"
"-17.181.813,17.497.305,-72.274.345,-22.987.587,-12.415.581,32.140.846,1.742.525,Good"
"40.894.255,73.935.544,21.189.206,-18.997.818,47.037.944,1.972.553,16.562.054,Good"
"-2.585.991,17.835.002,4.449.729,-15.513.003,-15.662.781,7.177.733,5.491.681,Good"
"-29.253.542,14.187.994,11.355.845,-2.608.716,-49.793.154,2.589.713,11.050.131,Good"
"-16.823.237,61.279.464,-2.085.296,-14.380.007,-8.057.864,-22.516.793,-32.547.787,Good"
"-23.337.324,8.639.125,9.902.906,-31.367.106,-6.550.301,24.427.269,97.257.143,Good"
"-38.979.936,29.289.448,18.337.708,-33.957.416,-44.997.102,9.361.844,-11.168.041,Good"
"-23.014.848,11.069.474,17.880.263,-13.565.286,-2.549.013,61.565.876,26.217.918,Good"
"-23.986.912,56.272.674,13.732.226,-45.155.373,-10.758.419,3.903.651,264.145,Good"
"-14.611.379,28.139.665,24.875.395,3.111.094,-9.183.007,1.762.858,35.109.868,Good"
"-22.966.752,39.579.754,6.742.872,42.411.226,-12.605.984,-42.920.387,46.580.988,Good"
"-8.115.389,2.534.858,-33.353.734,-20.132.623,-11.071.256,22.436.259,30.476.134,Good"
"-61.321.634,24.384.196,26.898.205,14.270.098,-9.760.353,29.833.296,10.983.291,Good"
"-31.473.854,2.456.648,91.303.724,-21.488.304,-18.557.099,16.882.093,-10.795.692,Good"
"-12.251.877,15.353.731,24.688.945,-97.768.664,-12.242.754,55.342.907,75.919.515,Good"
"-32.653.062,18.942.883,-7.539.994,-22.723.706,-32.110.822,16.950.759,26.216.543,Good"
"14.125.112,19.343.204,-6.642.362,-16.280.596,-26.752.336,17.605.326,8.476.423,Good"
"-31.088.772,30.059.683,12.280.128,-12.229.849,-79.937.595,17.129.247,5.345.853,Good"
"-3.007.591,23.679.461,28.409.808,17.008.904,-16.555.058,-2.252.003,18.367.478,Good"
"8.350.848,22.617.922,20.447.183,-257.506,-8.929.622,28.429.258,1.148.899,Good"
"-29.850.802,614.316,12.237.552,-1.551.216,-1.487.796,22.494.075,-4.174.836,Good"
"-11.990.794,16.704.755,62.453.526,-26.911.325,-40.724.143,412.581,33.652.751,Good"
"-11.292.232,14.538.231,67.803.997,-32.550.144,-2.102.941,47.893.696,10.617.554,Good"
"-6.294.473,9.565.241,37.538.605,-3.316.339,-47.308.335,13.646.452,32.955.873,Good"
"9.927.336,-40.748.644,-20.921.166,-5.523.793,-45.139.673,61.489.053,15.184.858,Good"
"-17.706.605,16.509.352,-42.184.076,-34.839.075,1.950.231,458.737,4.837.936,Good"
"-26.211.002,34.484.744,23.161.588,-60.819.465,-19.599.326,1.739.732,15.356.882,Good"
"-29.229.808,10.891.205,2.709.075,4.456.516,-20.385.718,-1.952.348,3.228.116,Good"
"-3.476.739,21.402.442,22.772.253,-9.507.602,-868.372,99.645.835,19.352.543,Good"
"-2.049.865,-58.767.915,62.451.947,-34.541.388,-22.460.837,323.226,14.207.557,Good"
"-39.808.068,23.139.942,1.985.996,-32.107.309,-16.716.237,-18.691.815,-17.533.826,Good"
"-15.061.256,73.541.534,5.800.202,-34.855.185,-9.515.465,5.900.319,12.483.633,Good"
"-55.303.197,6.354.134,10.765.934,-70.105.255,-14.027.776,6.403.332,-42.330.433,Good"
"-33.146.796,19.279.593,14.558.806,-13.515.164,-31.387.155,14.617.594,-13.150.084,Good"
"-10.229.397,52.795.285,19.252.193,-22.906.566,-12.925.717,18.522.853,14.827.023,Good"
"-23.470.836,78.399.904,46.139.345,-14.634.217,-18.310.581,31.870.732,25.162.454,Good"
"-34.177.804,40.616.658,-6.867.929,-41.572.757,-27.543.528,20.716.977,1.412.463,Good"
"-11.662.065,20.358.572,16.286.687,-15.348.654,-10.428.818,13.284.561,-33.425.484,Good"
"-64.005.876,17.912.006,67.524.046,-1.464.388,-15.145.906,15.387.207,2.214.537,Good"
"-6.735.207,2.285.934,37.567.494,17.253.174,-2.285.628,-86.631.024,16.554.993,Good"
"-4.173.013,5.421.534,5.053.975,-24.286.203,-39.245.832,-122.078.165,12.606.903,Good"
"-2.274.676,28.736.887,16.855.226,-19.856.784,-43.802.306,30.237.854,33.647.606,Good"
"-23.834.863,-3.408.142,25.804.002,-33.798.568,-27.500.439,20.023.408,28.785.696,Good"
"-19.141.047,2.612.648,34.663.596,-67.600.447,28.524.214,16.191.335,11.095.254,Good"
"-39.929.245,14.484.937,-96.034.855,-27.123.072,-25.051.308,27.889.364,35.798.636,Good"
"-7.597.336,51.678.497,18.311.979,-12.363.423,-29.821.343,-42.495.403,63.014.764,Good"
"-23.541.307,13.548.553,124.971,-1.680.985,-15.677.241,10.878.532,9.841.385,Good"
"-15.301.476,19.883.995,32.980.614,44.830.865,-9.552.866,-3.036.531,15.328.912,Good"
"26.733.575,27.160.902,39.488.409,-49.197.415,16.424.099,1.039.191,27.824.204,Good"
"60.662.067,13.667.786,19.711.448,-22.897.072,-1.165.546,170.828,12.432.759,Good"
"-19.706.923,15.244.393,20.475.407,-18.308.415,-8.505.483,397.961,29.868.994,Good"
"-27.854.793,11.188.406,7.747.579,-32.009.892,-21.039.848,25.972.238,-2.854.993,Good"
"-7.024.795,2.698.093,34.128.942,22.620.986,33.964.485,58.182.764,315.154,Good"
"-3.303.699,-11.593.722,31.169.224,-32.692.506,-292.589,21.251.674,67.442.995,Good"
"-29.811.783,2.348.281,13.168.013,-87.720.925,-19.565.846,36.020.258,67.649.883,Good"
"-26.032.636,24.018.004,-27.727.957,-3.458.324,-78.852.725,38.485.663,10.511.346,Good"
"-14.666.592,31.788.878,33.543.944,-13.121.477,-2.033.909,46.935.165,8.815.748,Good"
"-89.386.266,31.504.042,27.556.753,11.176.758,-17.563.483,-13.388.336,28.589.978,Good"
"53.614.736,22.593.248,27.860.003,-7.745.523,-19.656.491,9.098.609,16.210.629,Good"
"-10.354.658,1.019.117,-99.673.986,-25.339.274,-2.644.079,24.888.632,15.325.633,Good"
"-2.263.094,74.535.745,11.957.071,-18.890.929,-23.915.815,15.953.231,3.117.993,Good"
"91.185.045,3.062.744,13.462.226,-12.339.399,404.579,14.230.456,-34.767.044,Good"
"-21.603.372,10.785.785,27.025.396,-13.994.248,-2.679.384,95.797.193,5.129.936,Good"
"-25.428.686,12.441.093,96.970.725,-24.888.794,-14.504.752,6.215.618,93.212.855,Good"
"-20.714.886,22.063.258,34.452.262,1.154.712,-25.829.988,-18.089.215,29.905.742,Good"
"-6.424.122,44.997.784,10.821.772,-21.760.547,-27.762.167,19.948.968,18.313.714,Good"
"-30.153.909,2.843.291,30.827.541,46.772.015,-26.522.799,-6.902.086,13.803.246,Good"
"975.875,16.376.541,8.278.906,-17.201.723,-45.096.216,4.093.084,32.289.624,Good"
"-15.997.258,-28.760.128,10.107.524,-34.092.157,-4.033.644,27.639.234,-3.948.526,Good"
"-2.047.952,12.602.997,6.702.157,6.725.956,-9.576.017,-1.626.057,31.073.847,Good"
"-18.369.194,15.727.485,1.823.482,-11.561.524,-21.063.745,15.926.241,22.696.354,Good"
"-17.019.533,24.967.601,-21.830.397,-21.808.004,34.417.763,37.240.856,41.076.145,Good"
"14.398.718,9.177.825,-80.575.323,-35.010.297,-2.293.642,38.441.691,27.565.112,Good"
"-36.052.196,33.793.542,1.826.351,-18.152.299,-23.346.355,18.750.086,37.217.803,Good"
"-19.864.341,7.215.466,47.953.186,-18.568.729,-2.205.594,-25.951.743,49.034.125,Good"
"-18.569.566,16.999.223,35.401.525,8.551.737,-48.830.953,7.234.378,26.964.242,Good"
"-8.036.579,14.250.412,5.196.749,2.228.875,-21.111.736,-23.848.946,16.845.043,Good"
"-2.867.057,4.288.612,26.277.268,48.765.007,-11.833.763,-7.263.812,5.481.777,Good"
"-13.122.655,1.071.294,31.042.163,-20.461.786,-16.237.589,-20.299.451,18.959.786,Good"
"-34.923.382,17.177.602,12.735.308,-34.349.725,-19.467.121,26.605.687,21.507.802,Good"
"-5.031.029,-6.183.453,19.346.382,-49.206.786,-12.363.013,48.237.376,-10.275.588,Good"
"-25.901.277,10.264.453,-10.063.821,-36.846.716,-16.614.053,23.187.587,16.514.829,Good"
"-11.801.933,34.317.663,17.627.777,85.756.916,-13.590.956,-7.243.818,85.595.447,Good"
"-14.972.327,21.909.976,-3.915.628,-33.610.027,-2.082.354,26.956.272,-25.451.093,Good"
"-39.520.993,29.329.727,36.474.664,32.311.136,-22.705.894,-20.042.977,29.350.933,Good"
"-73.390.836,29.356.184,1.515.812,5.068.321,-7.275.952,35.810.986,13.929.107,Good"
"-30.228.994,-110.429.846,71.848.243,-16.889.703,-17.129.874,78.912.777,16.428.133,Good"
"-49.032.784,8.114.595,-5.352.521,-4.878.219,-28.417.625,46.564.813,-1.691.572,Good"
"15.631.136,2.764.436,11.968.409,-61.970.137,91.326.517,29.055.579,122.424,Good"
"-16.862.053,2.802.962,28.387.384,-38.918.248,-1.566.777,82.338.613,12.878.135,Good"
"-2.788.141,16.126.095,2.834.278,-2.395.022,-23.750.567,4.323.547,-63.350.487,Good"
"-288.222,2.481.435,-33.573.318,-15.387.496,-22.739.406,-27.284.771,-17.749.342,Good"
"-17.649.876,3.847.965,1.816.653,11.670.336,-16.904.236,-6.746.794,23.293.325,Good"
"-44.345.433,15.476.913,4.831.906,-8.047.515,-6.802.475,60.194.594,28.178.566,Good"
"-2.399.829,20.667.589,24.889.631,-9.447.001,-21.771.007,5.238.085,1.426.307,Good"
"-11.085.242,-2.695.267,-43.390.068,-30.140.672,-43.682.547,15.412.865,11.281.719,Good"
"-19.825.569,19.311.491,12.274.848,166.823,-26.431.832,42.403.278,6.637.956,Good"
"-15.961.387,-25.318.238,45.570.782,-53.990.064,-21.312.723,4.292.835,-19.277.433,Good"
"-16.293.849,16.980.188,21.607.437,-29.118.955,67.013.264,34.813.876,-10.146.308,Good"
"-81.003.183,4.232.853,3.727.198,5.244.356,-50.883.186,-4.960.806,26.394.098,Good"
"-238.435,15.051.417,-10.220.189,-17.296.422,-18.119.904,2.818.429,11.165.439,Good"
"1.506.367,-4.494.581,-2.295.196,-34.375.226,-18.197.408,29.648.783,2.266.323,Good"
"-27.075.508,27.246.149,4.306.135,5.842.035,-27.182.677,-14.877.312,-18.799.788,Good"
"-5.052.675,71.344.906,20.421.329,42.315.997,-10.889.403,15.664.041,27.874.455,Good"
"-38.484.235,7.907.334,66.471.833,-26.145.742,-34.766.781,12.614.678,-30.516.306,Good"
"-16.502.471,33.353.512,4.381.327,15.225.912,-29.003.463,-36.635.277,13.713.888,Good"
"-29.370.987,8.690.368,-1.906.908,-17.450.018,-22.637.477,17.290.452,16.981.266,Good"
"-25.994.608,2.528.934,12.786.621,-16.798.112,-35.711.777,43.667.474,-5.427.317,Good"
"-26.387.777,-43.521.568,29.074.183,-24.485.857,-19.744.056,23.468.244,-66.290.963,Good"
